Unnamed: 0,geometry,name,place_id,rating,types,vicinity,cords,reviewers
2413,"{'location': {'lat': 45.534799, 'lng': 9.226301}, 'viewport': {'northeast': {'lat': 45.53609967989271, 'lng': 9.227649679892723}, 'southwest': {'lat': 45.53340002010727, 'lng': 9.22495002010728}}}",Pizzeria Tom e Jerry 2,ChIJ5WNvcqG4hkcR4M69x-sfsrg,3.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Fratelli Bandiera, 120, Sesto San Giovanni","45.534799,9.226301","['C', 'S', 'Marco', 'Catoia', 'Jennifer', 'Di', 'Benedetto', 'Debora', 'Soldan', 'Alessandra', 'De', 'Cuia']"
2414,"{'location': {'lat': 45.53259509999999, 'lng': 9.2287691}, 'viewport': {'northeast': {'lat': 45.53396947989272, 'lng': 9.230122429892724}, 'southwest': {'lat': 45.53126982010728, 'lng': 9.227422770107278}}}",Number One Di Saad Adel Alasha & C. S.A.S.,ChIJQVuSJaC4hkcReNx5mBmHZJE,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Firenze, 41, Sesto San Giovanni","45.532595,9.228769","['Marco', 'Coco', 'bob', 'fra', 'Ahmed', 'Ksha', 'luca', 'savi', 'Fado', 'Fado']"
2415,"{'location': {'lat': 45.53973389999999, 'lng': 9.2362975}, 'viewport': {'northeast': {'lat': 45.54106162989272, 'lng': 9.237687179892722}, 'southwest': {'lat': 45.53836197010728, 'lng': 9.234987520107278}}}",Pizzeria da Tony,ChIJ74wa4pm4hkcRiOefTVPiU2c,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']","Viale A. Gramsci, 183, Sesto San Giovanni","45.539734,9.236297","['hoolahoop75', 'Nœmi', 'Silvia', 'Cimata', 'Claudio', 'Gaggion', 'Daniela', 'Zamboni']"
2416,"{'location': {'lat': 40.834936, 'lng': 14.1058872}, 'viewport': {'northeast': {'lat': 40.83632902989272, 'lng': 14.10724707989272}, 'southwest': {'lat': 40.83362937010727, 'lng': 14.10454742010728}}}",Biga 280,ChIJbUGGlSMOOxMRj5UioUM1YvY,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Campi Flegrei, 13, Pozzuoli","40.834936,14.105887","['Isac', 'Libardi', 'Jesper', 'Uddefors', 'Jake', 'Rader', 'Antonio', 'Saggese', 'GINO', 'MAIL']"
2417,"{'location': {'lat': 40.8465772, 'lng': 14.0897878}, 'viewport': {'northeast': {'lat': 40.84793837989272, 'lng': 14.09109437989272}, 'southwest': {'lat': 40.84523872010728, 'lng': 14.08839472010728}}}",La Pagliarella,ChIJDRdYc9AROxMRY79Gna8LsVQ,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Cicerone, 12, Pozzuoli","40.846577,14.089788","['Lujza', 'Zhang', 'Massimiliano', 'Menafra', 'Rosa', 'Tortorelli', 'PumppcvzB', 'Caterina', 'Miglietta']"
2418,"{'location': {'lat': 40.8428808, 'lng': 14.0939714}, 'viewport': {'northeast': {'lat': 40.84417037989272, 'lng': 14.09548172989272}, 'southwest': {'lat': 40.84147072010727, 'lng': 14.09278207010728}}}",Master Pizza Di Beneduce Emanuele,ChIJQ9PYq9AROxMRVP7vKPZZ17M,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Tiberio, 1, Pozzuoli","40.842881,14.093971",['Mr. Hoodoo']
2419,"{'location': {'lat': 40.8525806, 'lng': 14.084242}, 'viewport': {'northeast': {'lat': 40.85393042989271, 'lng': 14.08559182989272}, 'southwest': {'lat': 40.85123077010727, 'lng': 14.08289217010728}}}",Hotel Agave,ChIJF3uT58wROxMReEaQzH_AbRk,4.0,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']","SS.7 quater Km 53+390, Pozzuoli","40.852581,14.084242","['Martin', 'topgaard', 'Giacomo', 'Nardone', 'sergio', 'blasio', 'Kwasi', 'Ernest', 'Arnaud', 'Gouyon']"
2420,"{'location': {'lat': 40.834495, 'lng': 14.0985117}, 'viewport': {'northeast': {'lat': 40.83578117989272, 'lng': 14.09994152989272}, 'southwest': {'lat': 40.83308152010728, 'lng': 14.09724187010728}}}",Bob&Clare,ChIJ89e7o98ROxMR-ZdMtzPVT2o,4.3,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via Campi Flegrei, 72, Pozzuoli","40.834495,14.098512","['Roberto', 'Millicent', 'Levy-McCarthy', 'Marco', 'Durante', 'Iron', 'Xvier', 'Franco', 'Barber']"
2421,"{'location': {'lat': 40.8383072, 'lng': 14.0959241}, 'viewport': {'northeast': {'lat': 40.83969612989272, 'lng': 14.09721262989272}, 'southwest': {'lat': 40.83699647010728, 'lng': 14.09451297010728}}}",Il Quadrifoglio,ChIJqygzP9kROxMRwkuhToI7Yxg,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Sotto Il Monte, 2, Pozzuoli","40.838307,14.095924",['Mr. Hoodoo']
2422,"{'location': {'lat': 40.84219, 'lng': 14.082165}, 'viewport': {'northeast': {'lat': 40.84368817989272, 'lng': 14.08365457989272}, 'southwest': {'lat': 40.84098852010727, 'lng': 14.08095492010728}}}",navidad - loungebar - ristorante - pizzeria - discoclub,ChIJKR1Jd8YROxMR7LPluwhxkSw,5.0,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via Montenuovo Licola Patria, Pozzuoli","40.842190,14.082165","['SPIRIT', 'littledope86', 'Alessandro', 'Maggio', 'Annamaria', 'Picone']"
